masked_celphone_number,text,intent,Cluster,
+63960****655,"papalduhin kita ng 12k ngayon, basta ikaw na bahala sakin ah reply sa fb 'YES'  ako bahala sa winning games mo

FB PAGE : Yara Vespar
Naka gray na sando ang profile@@
",Gambling Scam,,
+63960****150,"B0ss pan@lunin kita sa pinata win 15k, n0w lang h@bang n@ndito pa ak0  b@sta wag ka lang p0 makalim0t sakin
mess@ge mok0 sa peysbuk ko
 ( tanya aupadus) 
N@ka puti @t mAy hawak n@ juice
",Gambling Scam,,
+63963****180,"Dito nagsisimula ang saya at panalo! 8P FREE + 8888P welcome package + bonus. USE 716120 at  BangoWin.com âœª
",Gambling Scam,,
+63929****674,"okay lang ba makipag deal ako sayo? Cash in ka 100 ipapanalo kita 7k basta hati tayo 2k sakin 5k sayo ,kung sure k

ame :Allexa Brielle Lim 
search:@officialalex09
(naka swimsuit na white  )
^&%
",Investment Scam,,
+63907****196,"Good day I'm Ms.Ivie from multi banking  personal cash loan I'd like to offer you personal loan.100k up to 5M Unsecured loan,and can get the loan as fast as 3 to 7 banking days .If you are interested please reply YES .
Thank you.",Loan Scam,,
+63929****732,[FEX] Your parcel P6115DDCDD7BA couldn't reach you. Please contact the branch at 9283170245 for any concerns.,Delivery Scam,,
+63917****846,"Live DJ and awesome music waiting for you. Drop by and enjoy the night with us here at Vu's Sky Bar & Lounge, Marco Polo Hotel Ortigas Manila. 

Thank you!

Kit Miculob
Vu's Receptionist",Commercial Spam,,
+63998****987,"Hello good day! :)
Commercial lots in the first master-planned CBD in Batangas - Lima Estate

- with 70 hectare existing components like The Outlets at Lipa, Aboitiz Pitch, office bldgs, Holiday Inn and residential
- 40 hectare expansion area with parks and open spaces
- FAR 4 to 5

lot size 1,165 to 3,215 sqm
price range 75k to 93k per sqm with terms

pre selling commercial lots also available in other areas

kindly message me for details

Erwin Sia",Commercial Spam,,
+63917****846,"Good day! 
Come and join us here at Vus Sky Bar & Lounge, Marco Polo Hotel Ortigas Manila. Weâ€™ve got a cozy and relaxing vibeâ€”perfect for chilling out this Monday night. See you later! 

Thank you! 

Kit Miculob
Vu's Receptionist",Commercial Spam,,
+63912****620,"Hi,

Your G-Cash account has been temporarily deactivated!
Please update your G-Cash as soon as possible.

Confirm your account here: kycupdategcash.online
Thank you for choosing GCash!",Bank Scam,,
+63917****846,"Shiftâ€™s Over Mondays | INDUSTRIAL NIGHT at Vuâ€™s Sky Bar and Lounge

Calling all hardworking heroes of the night!
Hoteliers, restaurateurs, bar stars, and BPO champs â€” your Monday just got better!

Enjoy 50% OFF on selected favorites: âœ¨ Draft Beers
âœ¨ Chivas
âœ¨ Olmeca Bottles & Shots
âœ¨ Classic Cocktails

 Every Monday Night
ðŸ“ Vuâ€™s Sky Bar and Lounge | 45th Floor, Marco Polo Ortigas Manila

 Exclusive for hospitality and BPO industry professionals.

Just present your valid company ID to avail of the discount.

Unwind. Mingle. Celebrate your grind.
Because your shiftâ€™s over â€” and itâ€™s time to take the night back!
",Commercial Spam,,
+63917****846,"Youâ€™re invited to join us tonight at Vu's Sky Bar & Lounge, Marco Polo Hotel Ortigas Manila for a great night of drinks, music, and good vibes! ðŸ¸âœ¨
Weâ€™re open and ready to welcome youâ€”come and chill with us! 

Thank you!

Kit Miculob
Vu's Receptionist",Commercial Spam,,
+63917****846,"
Late nights just got better! ðŸŒƒðŸ¹


Join us at Vuâ€™s Sky Bar and Lounge as we celebrate 11 amazing years of Marco Polo Ortigas Manila!


Raise a glass to our 11th Anniversary with our â€œ11th Hour Specialâ€ at Vuâ€™s Sky Bar and Lounge.
From July 1â€“9, enjoy 50% off on all beverages â€” including signature cocktails, house wine, beer, and non-alcoholic drinks â€” from 11:00 PM to 12:00 AM.
Order at least one food item per table to unlock this exclusive treat.

Experience refined evenings high above the city.
#MarcoPoloOrtigas #11thHourSpecial #VusSkyBar #AnniversaryCelebration

",Commercial Spam,,
+63917****846,"Feel the rhythm in the sky! ðŸŽ¶Here at Vuâ€™s Sky Bar & Lounge Marco Polo Hotel, Ortigas Manila.
 Rock band on June 20th at 9 PM! Don't miss the vibe.

Reserve your spot now!

Kit Miculob
Vu's Receptionist
",Commercial Spam,,
