,Bank Scam,Commercial Spam,Delivery Scam,Gambling Scam,Government Spoofing,HAM,Investment Scam,Job Scam,Loan Scam,Pasaload Scam,Prize Scam,Raffle Scam
Bank Scam,21,3,0,3,0,1,0,0,0,1,1,0
Commercial Spam,2,129,0,3,0,1,1,0,1,0,0,0
Delivery Scam,1,0,5,0,0,0,0,0,0,0,0,0
Gambling Scam,1,2,0,165,0,0,5,2,0,0,23,6
Government Spoofing,1,0,0,0,7,0,0,0,0,0,0,0
HAM,0,6,0,0,0,16,0,0,1,0,0,0
Investment Scam,0,0,0,9,0,0,14,0,0,0,11,0
Job Scam,1,2,0,1,0,0,2,24,0,0,0,0
Loan Scam,0,2,0,0,0,1,1,0,9,0,0,0
Pasaload Scam,0,0,0,0,0,0,0,0,0,1,0,0
Prize Scam,1,0,1,17,0,0,1,1,3,0,36,0
Raffle Scam,0,0,0,7,0,0,0,0,0,0,3,13
