sender,text,intent,label
+63950****345,"Final Notice: We have detected a pending traffic violation recorded under your plate number. Failure to settle your P2,500 penalty within 24 hours will result in the suspension of your driver's license. Pay immediately via: https://t.hxfxph.com/YNOko",Government Spoofing,4
+63933****330,"Happy Mother's Day, Ma! We love you.",HAM,5
+63900****000,"May libreng 100 pesos para sa mga Boss! Kumpletuhin ang pagrehistro! spinsnow.eu Mag-Enjoy sa Spins, bawat laro ay may mga bonus! Mag-sign up na!",Gambling Scam,3
GCash,"Uy, good news! Mas mura na magpalista ng load nang walang abala, now with as low as â‚±10 processing fee! G pa sa isang game! Mag-Borrow Load na!",Commercial Spam,1
BDO Deals,"Ending soon! Save your card & get P500 Cashback on Shopee with BDO Mastercard Credit Card. Valid for a minimum cumulative spend of P3,500. To join, enroll your Promo ID 432A4649AA Promo runs until May 31, 2025. For T&Cs, visit the BDO website & search Shopee Cashback. DTI223209",Commercial Spam,1
+63900****000,[NAME]. ! Padalhan ka ng 5500 at libreng SPIN na laro sa W+! Halika at manalo ng IPHONE14PROMAX ngayon sa W+!wpw7n.com/14PROMAX,Gambling Scam,3
+63981****135,"SARA DUTERTE 2028 OFFICIAL MERCH! Buy now ang shirts, mugs, at tumblers para sa campaign. Limited edition, order na agad!",Commercial Spam,1
GCash,Yay! You received a PHP 5.00 Buy Load voucher. Use it when you buy load for the first time via GCash. Go to your voucher pocket to view your voucher.,Commercial Spam,1
+63981****422,BPI URGENT:kindly contact luis_garry@yahoo.com,Bank Scam,0
BDO Deals,"Ending soon! Get up to P5K Cashback when you shop with your BDO Mastercard Credit Card! Accumulate at least P50K spend in Retail and Department Stores until Mar 31, 2025, minimum spend of P2K per transaction. Enroll using Promo ID 432A4649AA Search Shopping Cashback on BDO website for T&Cs. DTI212649.",Commercial Spam,1
DICT,"Magandang balita! Ang National ID mo, nasa cellphone mo na! I-download lang ang eGovPH sa AppStore at GooglePlay! Bayang digital ang bagong Pilipinas!",HAM,5
+63948****416,Nagbabagang kaganapin sa Winning+ Mag rehistro at Kuhanin ang Jili Mega Jackpot at 8888 Bonus! wp4hot.com/8888BONUS,Gambling Scam,3
